date,league,outcome,actual,p_fair,p_market,edge,ev,odds,ws,won,fold,stake,profit,bankroll
2024-11-23 20:00:00,La Liga,away,draw,1.0,0.561,0.439,78.25,1.78,136,False,3,20.0,-20.0,980.0
2025-02-08 17:00:00,Serie A,away,away,1.0,0.5746,0.4254,74.02,1.74,125,True,11,19.6,14.5,994.5
2025-02-08 17:30:00,La Liga,away,away,0.9623,0.5884,0.3739,63.55,1.7,132,True,11,19.89,13.92,1008.43
2025-11-08 19:45:00,Serie A,away,draw,1.0,0.6323,0.3677,58.14,1.58,140,False,33,21.83,-21.83,1069.46
2025-10-19 19:00:00,La Liga,away,away,1.0,0.6539,0.3461,52.94,1.53,147,True,30,22.04,11.68,1113.56
2025-05-10 19:00:00,Ligue 1,away,away,1.0,0.6559,0.3441,52.47,1.52,145,True,21,21.82,11.35,1102.4
2025-03-09 17:00:00,Serie A,away,away,0.7857,0.4951,0.2906,58.71,2.02,135,True,15,20.41,20.81,1041.14
2025-05-03 16:00:00,Serie A,away,away,0.8889,0.6117,0.2772,45.31,1.63,146,True,20,21.55,13.58,1091.05
2025-03-29 19:45:00,Serie A,away,away,0.8095,0.5352,0.2743,51.25,1.87,144,True,16,21.18,18.43,1077.48
2025-03-29 14:00:00,Serie A,away,away,0.8095,0.5363,0.2732,50.95,1.86,135,True,16,20.82,17.91,1059.05
2025-10-18 16:00:00,Serie A,away,home,0.7778,0.5272,0.2505,47.52,1.9,147,False,30,22.17,-22.17,1086.24
2026-02-07 14:30:00,Bundesliga,away,away,0.8,0.5692,0.2308,40.54,1.76,145,True,42,21.03,15.98,1067.47
2025-08-30 16:30:00,Serie A,away,draw,0.75,0.5263,0.2237,42.5,1.9,126,False,25,22.05,-22.05,1080.35
2025-11-29 18:00:00,Primeira Liga,away,away,0.8667,0.6487,0.218,33.6,1.54,142,True,34,21.39,11.55,1081.01
2025-09-14 12:30:00,Eredivisie,away,away,0.8261,0.6129,0.2132,34.78,1.63,142,True,27,21.89,13.79,1108.4
2026-01-04 20:00:00,La Liga,away,draw,0.7143,0.5067,0.2076,40.98,1.97,143,False,38,21.46,-21.46,1051.49
2025-12-14 20:00:00,La Liga,away,away,0.8182,0.6114,0.2067,33.81,1.64,126,True,36,21.19,13.56,1072.95
2025-09-13 13:30:00,Bundesliga,away,away,0.8,0.6018,0.1982,32.93,1.66,134,True,26,21.61,14.26,1094.61
2025-10-18 16:15:00,Jupiler Pro League,away,away,0.7778,0.5817,0.1961,33.71,1.72,140,True,30,21.72,15.64,1101.88
2025-11-02 14:00:00,Premier League,away,home,0.7778,0.583,0.1948,33.4,1.72,131,False,32,22.27,-22.27,1091.29
2026-02-21 15:00:00,Jupiler Pro League,away,away,0.6289,0.4477,0.1812,40.47,2.23,125,True,44,21.35,26.26,1093.73
2025-02-23 17:00:00,Serie A,away,away,0.8046,0.6303,0.1743,27.65,1.59,154,True,13,20.17,11.9,1020.33
2025-11-30 20:00:00,La Liga,away,draw,0.8333,0.6617,0.1716,25.93,1.51,139,False,35,21.62,-21.62,1059.39
