ev_thr,kelly_cap,cap_label,bets,win_rate,avg_odds,roi,profit,bankroll
0.08,0.02,2%,1810,0.37790055248618787,3.3792265193370166,-7.57,-840.21,159.79
0.05,0.02,2%,1889,0.37850714663843305,3.3667125463208047,-7.69,-856.87,143.13
0.1,0.02,2%,1753,0.37364517969195665,3.397780946948089,-8.31,-864.79,135.21
0.2,0.02,2%,1431,0.363382250174703,3.525960866526904,-8.58,-840.73,159.27
0.05,0.03,3%,1889,0.37850714663843305,3.3667125463208047,-9.2,-954.24,45.76
0.12,0.02,2%,1700,0.36941176470588233,3.3943000000000003,-9.25,-897.52,102.48
0.08,0.03,3%,1810,0.37790055248618787,3.3792265193370166,-9.28,-949.84,50.16
0.15,0.02,2%,1599,0.36647904940587867,3.4384240150093808,-9.46,-886.29,113.71
0.17,0.02,2%,1536,0.36328125,3.4802669270833335,-9.55,-879.3,120.7
0.1,0.03,3%,1753,0.37364517969195665,3.397780946948089,-9.69,-959.0,41.0
0.05,0.04,4%,1889,0.37850714663843305,3.3667125463208047,-10.34,-987.39,12.61
0.2,0.03,3%,1431,0.363382250174703,3.525960866526904,-10.37,-953.16,46.84
0.12,0.03,3%,1700,0.36941176470588233,3.3943000000000003,-10.42,-970.11,29.89
0.08,0.04,4%,1810,0.37790055248618787,3.3792265193370166,-10.5,-986.24,13.76
0.1,0.04,4%,1753,0.37364517969195665,3.397780946948089,-10.66,-988.94,11.06
0.15,0.03,3%,1599,0.36647904940587867,3.4384240150093808,-10.88,-968.25,31.75
0.17,0.03,3%,1536,0.36328125,3.4802669270833335,-11.03,-966.3,33.7
0.12,0.04,4%,1700,0.36941176470588233,3.3943000000000003,-11.24,-992.12,7.88
0.05,0.06,6%,1889,0.37850714663843305,3.3667125463208047,-11.28,-998.9,1.1
0.1,0.06,6%,1753,0.37364517969195665,3.397780946948089,-11.44,-999.04,0.96
0.2,0.04,4%,1431,0.363382250174703,3.525960866526904,-11.48,-987.37,12.63
0.08,0.06,6%,1810,0.37790055248618787,3.3792265193370166,-11.49,-998.8,1.2
0.15,0.04,4%,1599,0.36647904940587867,3.4384240150093808,-11.75,-992.02,7.98
0.12,0.06,6%,1700,0.36941176470588233,3.3943000000000003,-11.89,-999.32,0.68
0.17,0.04,4%,1536,0.36328125,3.4802669270833335,-12.04,-991.42,8.58
0.05,0.08,8%,1889,0.37850714663843305,3.3667125463208047,-12.36,-999.81,0.19
0.15,0.06,6%,1599,0.36647904940587867,3.4384240150093808,-12.39,-999.3,0.7
0.2,0.06,6%,1431,0.363382250174703,3.525960866526904,-12.39,-998.68,1.32
0.1,0.08,8%,1753,0.37364517969195665,3.397780946948089,-12.49,-999.84,0.16
0.08,0.08,8%,1810,0.37790055248618787,3.3792265193370166,-12.59,-999.8,0.2
0.17,0.06,6%,1536,0.36328125,3.4802669270833335,-12.93,-999.26,0.74
0.12,0.08,8%,1700,0.36941176470588233,3.3943000000000003,-12.93,-999.88,0.12
0.15,0.08,8%,1599,0.36647904940587867,3.4384240150093808,-13.42,-999.88,0.12
0.2,0.08,8%,1431,0.363382250174703,3.525960866526904,-13.55,-999.76,0.24
0.17,0.08,8%,1536,0.36328125,3.4802669270833335,-14.03,-999.87,0.13
0.05,1.0,none,1889,0.37850714663843305,3.3667125463208047,-15.43,-999.99,0.01
0.1,1.0,none,1753,0.37364517969195665,3.397780946948089,-15.53,-1000.0,0.0
0.08,1.0,none,1810,0.37790055248618787,3.3792265193370166,-15.66,-999.99,0.01
0.12,1.0,none,1700,0.36941176470588233,3.3943000000000003,-16.01,-1000.0,0.0
0.15,1.0,none,1599,0.36647904940587867,3.4384240150093808,-16.46,-1000.0,0.0
0.2,1.0,none,1431,0.363382250174703,3.525960866526904,-16.74,-999.99,0.01
0.17,1.0,none,1536,0.36328125,3.4802669270833335,-17.2,-1000.0,0.0
