cap,frac,f1_kroi,f1_bk,f2_kroi,f2_bk,avg_kroi
0.02,0.15,38.27391883633689,1038.89,15.574733980941566,1025.09,26.924326408639228
0.02,0.25,38.27391883633689,1038.89,15.574733980941566,1025.09,26.924326408639228
0.02,0.33,38.27391883633689,1038.89,15.574733980941566,1025.09,26.924326408639228
0.03,0.15,37.60449380888705,1057.77,14.922805961173893,1036.16,26.26364988503047
0.03,0.25,37.60449380888705,1057.77,14.922805961173893,1036.16,26.26364988503047
0.03,0.33,37.60449380888705,1057.77,14.922805961173893,1036.16,26.26364988503047
0.04,0.15,36.931239592210886,1076.24,14.269569693953365,1046.2,25.600404643082125
0.04,0.25,36.931239592210886,1076.24,14.269569693953365,1046.2,25.600404643082125
0.04,0.33,36.931239592210886,1076.24,14.269569693953365,1046.2,25.600404643082125
0.05,0.25,36.25446160275094,1094.26,13.614945874826741,1055.21,24.93470373878884
0.05,0.33,36.25446160275094,1094.26,13.614945874826741,1055.21,24.93470373878884
0.05,0.15,36.25446160275094,1094.26,11.379653569440123,1045.24,23.817057586095533
